Sun Nov  7 13:35:14 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 13:35:14 2021 L'Arduino ha segnalato questo errore: |er  |
Sun Nov  7 14:34:13 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 14:34:13 2021 L'Arduino ha segnalato questo errore: | †  |
Sun Nov  7 14:34:13 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 14:34:13 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 14:34:13 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 14:34:13 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 14:34:13 2021 L'Arduino ha segnalato questo errore: |  † |
Sun Nov  7 14:34:13 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 14:34:13 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 14:34:13 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 14:34:13 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 14:34:13 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 14:34:13 2021 L'Arduino ha segnalato questo errore: |   †|
Sun Nov  7 14:34:13 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 14:34:13 2021 Errore nell'invio del messaggio. Ritento. Cause: Remote I/O error
Sun Nov  7 14:34:13 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 14:34:13 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 14:34:13 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 14:34:13 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 14:34:13 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 14:34:13 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 14:34:13 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 14:34:13 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 14:34:13 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 14:34:13 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 14:34:13 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 14:34:13 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 14:34:14 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 14:34:14 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 14:34:14 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 14:34:14 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 14:34:14 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 14:34:14 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 14:34:14 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 14:34:14 2021 L'Arduino ha segnalato questo errore: |†   |
Sun Nov  7 14:34:14 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 14:34:14 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 14:34:14 2021 L'Arduino ha segnalato questo errore: |    |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |      |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |      |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |      |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |      |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |      |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |      |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |      |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |†er   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |  †   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |†er† †|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |   †  |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er†  |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | Âr   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er  †|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | Âr † |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |†er  †|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er † |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | Âr † |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |      |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | eÚ êˇ|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |  er  |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | †er  |
Sun Nov  7 14:35:17 2021 Errore nell'invio del messaggio. Ritento. Cause: Remote I/O error
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |     †|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | †er  |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |  eÚ  |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | †e   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er  †|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |      |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er†  |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er  †|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |      |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er  †|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er † |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | e    |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | Âr   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |†er   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | eÚ   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |eÚ    |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |er  † |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |      |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |er    |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |er   †|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |er†   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |eÚ    |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |  †  †|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |er    |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |er    |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |er    |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |er†   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |e †   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |r    e|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |r †  e|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |  † er|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | êˇˇˇˇ|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |  er  |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | êˇˇˇˇ|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |er    |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |er  † |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |er    |
Sun Nov  7 14:35:17 2021 Errore nell'invio del messaggio. Ritento. Cause: Remote I/O error
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |er    |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |e     |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |  †   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |er    |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |er † †|
Sun Nov  7 14:35:17 2021 Errore nell'invio del messaggio. Ritento. Cause: Remote I/O error
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |er†   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |er    |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |   †  |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |er    |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |Âr    |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |er†   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |er    |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |eÚ    |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |er   †|
Sun Nov  7 14:35:17 2021 Errore nell'invio del messaggio. Ritento. Cause: Remote I/O error
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |er†  †|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |er  † |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |er†   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |er    |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |     †|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |er    |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |er  † |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |er †  |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |er  † |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |  †  †|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |er    |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |Âr    |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |r † †e|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |r   †e|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |r    e|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |r†   e|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |    Âr|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |    eÚ|
Sun Nov  7 14:35:17 2021 Errore nell'invio del messaggio. Ritento. Cause: Remote I/O error
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |      |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |†   er|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |êˇˇˇˇˇ|
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |   er |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |   er |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |   er |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |   er |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |   er |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: |      |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er   |
Sun Nov  7 14:35:17 2021 L'Arduino ha segnalato questo errore: | er   |
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |      |
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: | er   |
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: | er   |
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: | er   |
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |er    |
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |      |
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |er    |
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |er    |
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |er    |
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |er   †|
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |eÚ  † |
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |eÚ  † |
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |er †  |
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |er    |
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |eÚ    |
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |er   †|
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |     †|
Sun Nov  7 14:35:18 2021 Errore nell'invio del messaggio. Ritento. Cause: Remote I/O error
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |er    |
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |er† † |
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |er    |
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |er   †|
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |  †   |
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |er  † |
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |er    |
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |er    |
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |eÚ    |
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |r †  Â|
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |r    e|
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |r    Â|
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |r    Â|
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |r    e|
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |r  † e|
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |r  † e|
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |r    e|
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |r    e|
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |r   †e|
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |r †   |
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |     e|
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |r    e|
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |r   †e|
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |r†   e|
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |r †  Â|
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |r    e|
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |r †  e|
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |r    e|
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |r  † e|
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |r †  e|
Sun Nov  7 14:35:18 2021 Errore nell'invio del messaggio. Ritento. Cause: Remote I/O error
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |r    e|
Sun Nov  7 14:35:18 2021 L'Arduino ha segnalato questo errore: |r †  Â|
Sun Nov  7 14:49:14 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:49:14 2021 L'Arduino ha segnalato questo errore: |    eÚ|
Sun Nov  7 14:49:14 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:49:14 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:49:14 2021 L'Arduino ha segnalato questo errore: |    eÚ|
Sun Nov  7 14:49:14 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:49:14 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:49:14 2021 L'Arduino ha segnalato questo errore: |   †eÚ|
Sun Nov  7 14:49:14 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:49:14 2021 L'Arduino ha segnalato questo errore: |    eÚ|
Sun Nov  7 14:49:14 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:49:14 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:49:14 2021 L'Arduino ha segnalato questo errore: |    Âr|
Sun Nov  7 14:49:14 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:49:14 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:49:14 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:49:14 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:49:14 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:49:14 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:49:14 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:49:14 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:49:14 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:49:14 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:49:14 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:49:14 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:49:14 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:49:14 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:49:14 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:49:14 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:49:14 2021 L'Arduino ha segnalato questo errore: |    er|
Sun Nov  7 14:49:14 2021 Errore nell'invio del messaggio. Ritento. Cause: Remote I/O error
Sun Nov  7 14:49:14 2021 Errore nell'invio del messaggio. Ritento. Cause: Remote I/O error
Sun Nov  7 14:49:15 2021 Errore nell'invio del messaggio. Ritento. Cause: Remote I/O error
Sun Nov  7 14:49:15 2021 Errore nell'invio del messaggio. Ritento. Cause: Remote I/O error
Sun Nov  7 14:49:15 2021 Errore nell'invio del messaggio. Ritento. Cause: Remote I/O error
Sun Nov  7 14:49:15 2021 Errore nell'invio del messaggio. Ritento. Cause: Remote I/O error
Sun Nov  7 15:39:39 2021 L'Arduino ha segnalato questo errore: | †|
Sun Nov  7 19:53:10 2021 L'Arduino ha segnalato questo errore: ||
Sun Nov  7 19:53:11 2021 Error sending message, retrying. Cause: Input/output error
Sun Nov  7 19:53:11 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:11 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:11 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:11 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:12 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:12 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:12 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:12 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:13 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:13 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:13 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:13 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:13 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:14 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:14 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:14 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:14 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:14 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:15 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:15 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:15 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:15 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:15 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:16 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:16 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:16 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:16 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:16 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:17 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:17 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:17 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:17 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:17 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:18 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:18 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:18 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:18 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:19 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:19 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:19 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:19 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:19 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:20 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:20 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:20 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:20 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:20 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:21 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:21 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:21 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:21 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:21 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:22 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:22 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:22 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:22 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:22 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:23 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:23 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:23 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:23 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:23 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:24 2021 Error sending message, retrying. Cause: Remote I/O error
Sun Nov  7 19:53:24 2021 Error sending message, retrying. Cause: Remote I/O error
